product_url,image_link,overview,length,width,height,volume,diameter,color,material,ean_code,pattern,barcode
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-bead-band/steelite-bead-band-black/steelite-bead-band-black-mug-10oz.html,"https://www.stephensons.com/media/catalog/product/3/4/34685-1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=GTKL6XK]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=C0FIK64]{border-style:none}#html-body [data-pb-style=KKJHPM0],#html-body [data-pb-style=RIXM3N8]{max-width:100%;height:auto}#html-body [data-pb-style=GH4YNA3]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=CKBT8HW]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=C0FIK64]{border-style:none} } | Steelite Bead Band Black Mug (10oz / 28.5cl) | Vitrified tableware | Stain resistant and thermal shock resistant | Stackable | Microwave, freezer, and dishwasher safe | Lifetime Edge Chip Warranty | Suitable for professional use | Steelite's Bead collection of tableware takes a classic approach to dining. This range features classic linear designs, allowing you to beautifully present dishes while still also being easy to use in back-of-house areas. | Bead Band adds a powerful elegant framing device by introducing a bit of colour, in Maroon or Black options, around the edge of these plates. | All of the pieces within this range are extremely durable and come with a | Lifetime Edge Chip Warranty | as an assurance of their quality.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-bead-band/steelite-bead-band-maroon/steelite-bead-band-maroon-mug-10oz.html,"https://www.stephensons.com/media/catalog/product/3/4/34696-1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=GWTJITE]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=IPM1LY3]{border-style:none}#html-body [data-pb-style=LSRVA2I],#html-body [data-pb-style=Y3YEDNO]{max-width:100%;height:auto}#html-body [data-pb-style=VA8WS8T]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=JQONT6P]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=IPM1LY3]{border-style:none} } | Steelite Bead Band Maroon Mug (10oz / 28.5cl) | Vitrified tableware | Stain resistant and thermal shock resistant | Stackable | Microwave, freezer, and dishwasher safe | Lifetime Edge Chip Warranty | Suitable for professional use | Steelite's Bead collection of tableware takes a classic approach to dining. This range features classic linear designs, allowing you to beautifully present dishes while still also being easy to use in back-of-house areas. | Bead Band adds a powerful elegant framing device by introducing a bit of colour, in Maroon or Black options, around the edge of these plates. | All of the pieces within this range are extremely durable and come with a | Lifetime Edge Chip Warranty | as an assurance of their quality.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-bead-band/steelite-bead-band-maroon/steelite-bead-band-maroon-saucer.html,"https://www.stephensons.com/media/catalog/product/3/4/34697-1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=OIPMESY]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PIL6M0Y]{border-style:none}#html-body [data-pb-style=HN911TG],#html-body [data-pb-style=SPNX3JA]{max-width:100%;height:auto}#html-body [data-pb-style=NM25F55]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=BU9JFY5]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=PIL6M0Y]{border-style:none} } | Steelite Bead Band Maroon Saucer (6"" / 15cm) | Vitrified tableware | Stain resistant and thermal shock resistant | Stackable | Microwave, freezer, and dishwasher safe | Lifetime Edge Chip Warranty | Suitable for professional use | Steelite's Bead collection of tableware takes a classic approach to dining. This range features classic linear designs, allowing you to beautifully present dishes while still also being easy to use in back-of-house areas. | Bead Band adds a powerful elegant framing device by introducing a bit of colour, in Maroon or Black options, around the edge of these plates. | All of the pieces within this range are extremely durable and come with a | Lifetime Edge Chip Warranty | as an assurance of their quality. | Matching Products | .product-image-container-52215 {
    width: 240px;
}
.product-image-container-52215 span.product-image-wrapper {
    padding-bottom: 125%;
} | £5.34 | Each | Sold as:                                             Case of 12 | £64.08 | Steelite Bead Band Maroon Stacking Cup 7oz / 20cl | To Order : | Estimated 4-5 Days | Qty: | Add to Basket | .product-image-container-52204 {
    width: 240px;
}
.product-image-container-52204 span.product-image-wrapper {
    padding-bottom: 125%;
} | £5.34 | Each | Sold as:                                             Case of 12 | £64.08 | Steelite Bead Band Black Stacking Cup 7oz / 20cl | To Order : | Estimated 4-5 Days | Qty: | Add to Basket",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-crackle/steelite-ink-crackle-taupe/steelite-ink-crackle-taupe-coupe-bowl-10-25-5cm.html,"https://www.stephensons.com/media/catalog/product/9/4/94173_d_copy.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=FRTME8C]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=X1YHW4D]{border-style:none}#html-body [data-pb-style=B0VBOPE],#html-body [data-pb-style=RK3QEKS]{max-width:100%;height:auto}#html-body [data-pb-style=K7SOBLH]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=X1YHW4D]{border-style:none} } | Steelite Ink Crackle Taupe Coupe Bowl (10"" / 25.5cm) | Inspired by ancient pottery glazing technqiues | Handcrafted aesthetics | Microwave, freezer, and dishwasher safe | Exceptional thermal and mechanical shock resistance | Lifetime Edge Chip Warranty | Ink from Steelite is a range that celebrates the traditional crackle patterns that go back to ancient pottery. The Taupe colour option brings a warm, earthy tone to the tabletop and provides a perfect canvas for various dishes, whether it’s a crisp summer salad or a hearty roast dinner. These beautiful pieces will add texture and nuance to casual and contemporary food presentations. Steelite Ink Crackle is aesthetically compatible with both plain white and many other of Steelite's other craft inspired ranges. | These items are also microwave, freezer, and dishwasher safe. They offer excellent resistance to thermal and mechanical shock, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-crackle/steelite-ink-crackle-taupe/steelite-ink-crackle-taupe-coupe-bowl-8-5-21-6cm.html,"https://www.stephensons.com/media/catalog/product/9/4/94172_d_copy.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=EDLGH8R]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=YO1RD6K]{border-style:none}#html-body [data-pb-style=E1O7BMG],#html-body [data-pb-style=MJHQP0S]{max-width:100%;height:auto}#html-body [data-pb-style=CVPMDDS]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=YO1RD6K]{border-style:none} } | Steelite Ink Crackle Taupe Coupe Bowl (8.5"" / 21.6cm) | Inspired by ancient pottery glazing technqiues | Handcrafted aesthetics | Microwave, freezer, and dishwasher safe | Exceptional thermal and mechanical shock resistance | Lifetime Edge Chip Warranty | Ink from Steelite is a range that celebrates the traditional crackle patterns that go back to ancient pottery. The Taupe colour option brings a warm, earthy tone to the tabletop and provides a perfect canvas for various dishes, whether it’s a crisp summer salad or a hearty roast dinner. These beautiful pieces will add texture and nuance to casual and contemporary food presentations. Steelite Ink Crackle is aesthetically compatible with both plain white and many other of Steelite's other craft inspired ranges. | These items are also microwave, freezer, and dishwasher safe. They offer excellent resistance to thermal and mechanical shock, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-crackle/steelite-ink-crackle-taupe/steelite-ink-crackle-taupe-coupe-plate-11-28cm.html,"https://www.stephensons.com/media/catalog/product/9/4/94171_d_copy.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=HUKQUMO]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=EF12TX0]{border-style:none}#html-body [data-pb-style=GPNK3BH],#html-body [data-pb-style=GQJ5KLE]{max-width:100%;height:auto}#html-body [data-pb-style=PLW300U]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=EF12TX0]{border-style:none} } | Steelite Ink Crackle Taupe Coupe Plate (11"" / 28cm) | Inspired by ancient pottery glazing technqiues | Handcrafted aesthetics | Microwave, freezer, and dishwasher safe | Exceptional thermal and mechanical shock resistance | Lifetime Edge Chip Warranty | Ink from Steelite is a range that celebrates the traditional crackle patterns that go back to ancient pottery. The Taupe colour option brings a warm, earthy tone to the tabletop and provides a perfect canvas for various dishes, whether it’s a crisp summer salad or a hearty roast dinner. These beautiful pieces will add texture and nuance to casual and contemporary food presentations. Steelite Ink Crackle is aesthetically compatible with both plain white and many other of Steelite's other craft inspired ranges. | These items are also microwave, freezer, and dishwasher safe. They offer excellent resistance to thermal and mechanical shock, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-crackle/steelite-ink-crackle-taupe/steelite-ink-crackle-taupe-coupe-plate-10-25-25cm.html,"https://www.stephensons.com/media/catalog/product/9/4/94170_d_copy.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=VE5LNT9]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=LC9YJC4]{border-style:none}#html-body [data-pb-style=M3BMMKR],#html-body [data-pb-style=UANHT1O]{max-width:100%;height:auto}#html-body [data-pb-style=RMFLQE8]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=LC9YJC4]{border-style:none} } | Steelite Ink Crackle Taupe Coupe Plate (10"" / 25.25cm) | Inspired by ancient pottery glazing technqiues | Handcrafted aesthetics | Microwave, freezer, and dishwasher safe | Exceptional thermal and mechanical shock resistance | Lifetime Edge Chip Warranty | Ink from Steelite is a range that celebrates the traditional crackle patterns that go back to ancient pottery. The Taupe colour option brings a warm, earthy tone to the tabletop and provides a perfect canvas for various dishes, whether it’s a crisp summer salad or a hearty roast dinner. These beautiful pieces will add texture and nuance to casual and contemporary food presentations. Steelite Ink Crackle is aesthetically compatible with both plain white and many other of Steelite's other craft inspired ranges. | These items are also microwave, freezer, and dishwasher safe. They offer excellent resistance to thermal and mechanical shock, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-crackle/steelite-ink-crackle-taupe/steelite-ink-crackle-taupe-coupe-plate-8-20-25cm.html,"https://www.stephensons.com/media/catalog/product/9/4/94169_d_copy.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=HQ304K8]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=J3ORQMJ]{border-style:none}#html-body [data-pb-style=NPDRESG],#html-body [data-pb-style=WKSAK0R]{max-width:100%;height:auto}#html-body [data-pb-style=A0VPDSH]{width:100%;border-width:1px;border-color:#cecece;display:inline-block}@media only screen and (max-width: 768px) { #html-body [data-pb-style=J3ORQMJ]{border-style:none} } | Steelite Ink Crackle Taupe Coupe Plate (8"" / 20.25cm) | Inspired by ancient pottery glazing technqiues | Handcrafted aesthetics | Microwave, freezer, and dishwasher safe | Exceptional thermal and mechanical shock resistance | Lifetime Edge Chip Warranty | Ink from Steelite is a range that celebrates the traditional crackle patterns that go back to ancient pottery. The Taupe colour option brings a warm, earthy tone to the tabletop and provides a perfect canvas for various dishes, whether it’s a crisp summer salad or a hearty roast dinner. These beautiful pieces will add texture and nuance to casual and contemporary food presentations. Steelite Ink Crackle is aesthetically compatible with both plain white and many other of Steelite's other craft inspired ranges. | These items are also microwave, freezer, and dishwasher safe. They offer excellent resistance to thermal and mechanical shock, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-legacy/steelite-ink-legacy-ginger/steelite-ink-legacy-ginger-coupe-bowl-25cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92400_1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=CTQE3D1]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=V917PL0]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Legacy Ginger Coupe Bowl (10"" / 25.3cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and dishwasher safe | Suitable for use in a professional environment | Lifetime Edge Chip Warranty | Steelite Ink Legacy is a bold range that pays tribute to the faded opulence of antique decoration. Like find a treasure trove of heirloom pieces, Legacy inspires and delights with its playful, casual mix of relaxed style and comfortable living. The range contrasts and coordinates with other Performance collections by Steelite to create an eclectic array of off-the-shelf bespoke possibilites. | These pieces are also dishwasher, microwave, oven, and freezer safe. They offer exceptional thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty.",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-sand/steelite-ink-nomad-sand-coupe-bowl-25cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92382.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=HVEIQ7W]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=O8JGQ2R]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Sand Coupe Bowl (10"" / 25.3cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-bowl-25cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92376.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=N0C117A]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=XQLSWI4]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Bowl (10"" / 25.3cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-bowl-21cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92377.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=UN5YPGS]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=AKDL74B]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Bowl (8.5"" / 21.6cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-plate-30cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92372.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=CX0X7EY]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PA63YAH]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Plate (11.75"" / 30cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-plate-25cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92373_4.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=CHI85AP]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=XMO12N2]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Plate (10"" / 25.3cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-plate-20cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92374.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=MHX9RP3]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=LYUADGS]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Plate (8"" / 20.3cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
https://www.stephensons.com/catering-crockery/steelite-crockery/steelite-ink-nomad/steelite-ink-nomad-blue/steelite-ink-nomad-blue-coupe-plate-15cm.html,"https://www.stephensons.com/media/catalog/product/9/2/92375.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265","#html-body [data-pb-style=KNVLCTN]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=CIJUYV3]{width:100%;border-width:1px;border-color:#cecece;display:inline-block} | Steelite Ink Nomad Blue Coupe Plate (6"" / 15.75cm) | Vintage style motif | Ideal for casual dining environments | Exceptional thermal and mechanical shock resistance | Microwave, dishwasher, oven, and freezer safe | Suitable for professional use | Lifetime Edge Chip Warranty | Nomad is a bold collection of handicraft inspired decorations which evoke a richness and heritage associated with a culturally diverse past. The tasteful vintage motifs help create a crockery collection that can effortlessly blend into a wide number of environments. | The range is designed to work seamlessly with other Steelite ranges such as | Blue Dapple | , | Vesuvius | , and | Craft | . These pieces are also dishwasher, microwave, dishwasher, and oven safe. They offer excellent thermal and mechanical shock resistance, and are | covered by Steelite's Lifetime Edge Chip Warranty | .",,,,,,,,,,
